what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"ru_RU",1624474227033
processors,sysinfo,,,"8",1624474227033
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1624474227033
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1624474227033
java.specification.name,sysinfo,,,"Java Platform API Specification",1624474227033
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1624474227033
java.specification.version,sysinfo,,,"1.6",1624474227033
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1624474227033
java.version,sysinfo,,,"1.6.0_20",1624474227033
java.vm.info,sysinfo,,,"mixed mode",1624474227033
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1624474227033
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1624474227033
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1624474227033
java.vm.specification.version,sysinfo,,,"1.0",1624474227033
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1624474227033
java.vm.version,sysinfo,,,"16.3-b01",1624474227033
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1624474227143
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1624474227202
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1624474227231
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1624474227419
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1624474227428
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1624474227589
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1624474227600
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1624474227735
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1624474227786
